"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"1","Acantholabrus palloni","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",7633
"2","Achoerodus gouldii","nekton","finfish","bony fish",NA,"juv./adults",14420
"3","Achoerodus gouldii","zoobenthos","benth. crust.","crabs",NA,"juv./adults",14420
"4","Achoerodus gouldii","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",14420
"5","Achoerodus gouldii","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",14420
"6","Ammolabrus dicrus","zoobenthos","worms","non-annelids",NA,"juv./adults",59627
"7","Ammolabrus dicrus","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",59627
"8","Anampses caeruleopunctatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4888
"9","Anampses caeruleopunctatus","zoobenthos","mollusks","n.a./other mollusks",NA,"adults",4888
"10","Anampses caeruleopunctatus","zoobenthos","worms","polychaetes",NA,"juv./adults",4888
"11","Anampses chrysocephalus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4919
"12","Anampses cuvier","nekton","finfish","bony fish",NA,"juv./adults",4916
"13","Anampses cuvier","plants","other plants","benthic algae/weeds",NA,"juv./adults",4916
"14","Anampses cuvier","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",4916
"15","Anampses cuvier","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",4916
"16","Anampses cuvier","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",4916
"17","Anampses cuvier","zoobenthos","benth. crust.","crabs",NA,"juv./adults",4916
"18","Anampses cuvier","zoobenthos","benth. crust.","isopods",NA,"juv./adults",4916
"19","Anampses cuvier","zoobenthos","benth. crust.","ostracods",NA,"juv./adults",4916
"20","Anampses cuvier","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",4916
"21","Anampses cuvier","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",4916
"22","Anampses cuvier","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",4916
"23","Anampses cuvier","zoobenthos","mollusks","chitons",NA,"juv./adults",4916
"24","Anampses cuvier","zoobenthos","mollusks","gastropods",NA,"juv./adults",4916
"25","Anampses cuvier","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",4916
"26","Anampses cuvier","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",4916
"27","Anampses cuvier","zoobenthos","worms","non-annelids",NA,"juv./adults",4916
"28","Anampses elegans","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",4918
"29","Anampses geographicus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",4891
"30","Anampses lennardi","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",4917
"31","Anampses melanurus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5622
"32","Anampses melanurus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5622
"33","Anampses melanurus","zoobenthos","worms","polychaetes",NA,"juv./adults",5622
"34","Anampses meleagrides","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4889
"35","Anampses neoguinaicus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4890
"36","Anampses twistii","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",4893
"37","Anchichoerops natalensis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",14328
