"","sciname","DepthRangeShallow","DepthRangeDeep","Length","CommonLength","SpecCode"
"1","Acantholabrus palloni",30,500,25,NA,7633
"2","Achoerodus gouldii",5,65,175,NA,14420
"3","Achoerodus viridis",1,40,62,NA,50808
"4","Ammolabrus dicrus",7,18,9.41,NA,59627
"5","Anampses caeruleopunctatus",3,30,42,NA,4888
"6","Anampses chrysocephalus",12,139,17,NA,4919
"7","Anampses cuvier",2,26,31,NA,4916
"8","Anampses elegans",2,35,29,NA,4918
"9","Anampses femininus",10,30,24,NA,4892
"10","Anampses geographicus",1,25,31,NA,4891
"11","Anampses lennardi",NA,24,28,NA,4917
"12","Anampses lineatus",10,45,13,NA,7800
"13","Anampses melanurus",15,40,12,NA,5622
"14","Anampses meleagrides",3,60,22,NA,4889
"15","Anampses neoguinaicus",4,30,20,NA,4890
"16","Anampses twistii",5,30,18,NA,4893
"17","Anchichoerops natalensis",NA,60,75,NA,14328
"18","Austrolabrus maculatus",10,40,12.55,NA,47036
"19","Bodianus albotaeniatus",NA,NA,32.8,NA,66314
"20","Bodianus anthioides",6,60,24,NA,5497
"21","Bodianus axillaris",2,100,20,NA,5498
"22","Bodianus bathycapros",165,256,45.6,NA,64025
"23","Bodianus bilunulatus",3,160,55,NA,6580
"24","Bodianus bimaculatus",30,60,10,NA,5499
"25","Bodianus busellatus",NA,NA,NA,NA,64243
"26","Bodianus cylindriatus",250,510,14.2,NA,23523
"27","Bodianus diana",6,50,16.9,NA,5500
"28","Bodianus dictynna",5,100,14.4,NA,64242
"29","Bodianus diplotaenia",5,76,76,45,8270
"30","Bodianus eclancheri",5,46,61,40,8272
"31","Bodianus flavifrons",114,340,42.2,NA,60823
"32","Bodianus flavipinnis",157,250,36.8,NA,60820
"33","Bodianus frenchii",10,40,45,NA,52463
"34","Bodianus insularis",6,60,33,NA,14401
"35","Bodianus izuensis",30,70,10,NA,23525
"36","Bodianus leucosticticus",50,75,24.2,NA,7716
"37","Bodianus loxozonus",3,100,47,NA,12744
"38","Bodianus macrognathos",25,65,62,NA,14330
"39","Bodianus macrourus",10,40,32,NA,14334
"40","Bodianus masudai",30,113,12,NA,23526
"41","Bodianus mesothorax",5,40,25,NA,5501
"42","Bodianus neilli",5,18,20,NA,25412
"43","Bodianus neopercularis",NA,50,9.72,NA,64023
"44","Bodianus opercularis",35,75,18,NA,25754
"45","Bodianus oxycephalus",NA,NA,29,NA,6925
"46","Bodianus paraleucosticticus",50,115,9.91,NA,64026
"47","Bodianus perditio",10,120,80,NA,7734
"48","Bodianus prognathus",7,30,17.9,NA,46474
"49","Bodianus pulchellus",15,120,28.5,18,1066
"50","Bodianus rubrisos",50,103,20.2,NA,64241
"51","Bodianus rufus",1,70,40,28,1067
"52","Bodianus sanguineus",30,168,19,NA,46491
"53","Bodianus scrofa",20,200,43,30,13800
"54","Bodianus sepiacaudus",20,75,8.67,NA,64240
"55","Bodianus solatus",NA,NA,35,NA,64244
"56","Bodianus speciosus",3,70,50,40,4955
"57","Bodianus tanyokidus",NA,NA,17.7,NA,23527
