"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"1","Abudefduf abdominalis","plants","other plants","benthic algae/weeds",NA,"juv./adults",6652
"2","Abudefduf abdominalis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",6652
"3","Abudefduf abdominalis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6652
"4","Abudefduf abdominalis","zooplankton","plank. crust.","plank. copepods",NA,"juv./adults",6652
"5","Abudefduf bengalensis","plants","other plants","benthic algae/weeds",NA,"juv./adults",6517
"6","Abudefduf bengalensis","zoobenthos","benth. crust.","crabs",NA,"juv./adults",6517
"7","Abudefduf bengalensis","zoobenthos","mollusks","gastropods",NA,"juv./adults",6517
"8","Abudefduf bengalensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",6517
"9","Abudefduf concolor","plants","other plants","benthic algae/weeds",19,"juv./adults",11793
"10","Abudefduf concolor","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11793
"11","Abudefduf lorenzi","plants","other plants","benthic algae/weeds",19,"juv./adults",5685
"12","Abudefduf lorenzi","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",5685
"13","Abudefduf luridus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",11820
"14","Abudefduf margariteus","plants","other plants","benthic algae/weeds",19,"juv./adults",11823
"15","Abudefduf margariteus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11823
"16","Abudefduf natalensis","plants","other plants","benthic algae/weeds",19,"juv./adults",11825
"17","Abudefduf natalensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",11825
"18","Abudefduf notatus","plants","other plants","benthic algae/weeds",65,"juv./adults",5686
"19","Abudefduf notatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5686
"20","Abudefduf saxatilis","plants","other plants","benthic algae/weeds",19,"juv./adults",1119
"21","Abudefduf saxatilis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",61,"juv./adults",1119
"22","Abudefduf septemfasciatus","nekton","finfish","n.a./other finfish",NA,"recruits/juv.",5687
"23","Abudefduf septemfasciatus","plants","other plants","benthic algae/weeds",65,"juv./adults",5687
"24","Abudefduf septemfasciatus","plants","other plants","benthic algae/weeds",NA,"recruits/juv.",5687
"25","Abudefduf septemfasciatus","zoobenthos","benth. crust.","benth. copepods",NA,"recruits/juv.",5687
"26","Abudefduf septemfasciatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",20,"juv./adults",5687
