"","specname"
"1","Achoerodus viridis"
"2","Anampses femininus"
"3","Anampses lineatus"
"4","Bodianus albotaeniatus"
"5","Bodianus bathycapros"
"6","Bodianus busellatus"
"7","Bodianus cylindriatus"
"8","Bodianus flavifrons"
"9","Bodianus flavipinnis"
"10","Bodianus frenchii"
"11","Bodianus insularis"
"12","Bodianus leucosticticus"
"13","Bodianus macrognathos"
"14","Bodianus macrourus"
"15","Bodianus neopercularis"
"16","Bodianus oxycephalus"
"17","Bodianus paraleucosticticus"
"18","Bodianus prognathus"
"19","Bodianus rubrisos"
"20","Bodianus sanguineus"
"21","Bodianus sepiacaudus"
"22","Bodianus solatus"
"23","Bodianus tanyokidus"
"24","Bodianus thoracotaeniatus"
"25","Bodianus trilineatus"
"26","Bodianus unimaculatus"
"27","Centrolabrus caeruleus"
"28","Cheilinus abudjubbe"
"29","Cheilinus oxycephalus"
"30","Choerodon cauteroma"
"31","Choerodon frenatus"
"32","Choerodon gomoni"
"33","Choerodon gymnogenys"
"34","Choerodon margaritiferus"
"35","Choerodon melanostigma"
"36","Choerodon monostigma"
"37","Choerodon oligacanthus"
"38","Choerodon paynei"
"39","Choerodon rubescens"
"40","Choerodon sugillatum"
"41","Choerodon venustus"
"42","Choerodon vitta"
"43","Choerodon zamboangae"
"44","Choerodon zosterophorus"
"45","Cirrhilabrus adornatus"
"46","Cirrhilabrus aurantidorsalis"
"47","Cirrhilabrus bathyphilus"
"48","Cirrhilabrus beauperryi"
"49","Cirrhilabrus brunneus"
"50","Cirrhilabrus cenderawasih"
"51","Cirrhilabrus claire"
"52","Cirrhilabrus condei"
"53","Cirrhilabrus earlei"
"54","Cirrhilabrus flavidorsalis"
"55","Cirrhilabrus humanni"
"56","Cirrhilabrus joanallenae"
"57","Cirrhilabrus katherinae"
"58","Cirrhilabrus katoi"
"59","Cirrhilabrus lanceolatus"
"60","Cirrhilabrus lineatus"
"61","Cirrhilabrus lunatus"
"62","Cirrhilabrus marjorie"
"63","Cirrhilabrus morrisoni"
"64","Cirrhilabrus nahackyi"
"65","Cirrhilabrus naokoae"
"66","Cirrhilabrus punctatus"
"67","Cirrhilabrus pylei"
"68","Cirrhilabrus randalli"
"69","Cirrhilabrus roseafascia"
"70","Cirrhilabrus rubrimarginatus"
"71","Cirrhilabrus rubrisquamis"
"72","Cirrhilabrus sanguineus"
"73","Cirrhilabrus solorensis"
"74","Cirrhilabrus tonozukai"
"75","Cirrhilabrus walindi"
"76","Cirrhilabrus walshi"
"77","Clepticus africanus"
"78","Clepticus brasiliensis"
"79","Conniella apterygia"
"80","Coris atlantica"
"81","Coris auricularis"
"82","Coris aurilineata"
"83","Coris ballieui"
"84","Coris centralis"
"85","Coris debueni"
"86","Coris dorsomacula"
"87","Coris flavovittata"
"88","Coris hewetti"
"89","Coris latifasciata"
"90","Coris marquesensis"
"91","Coris musume"
"92","Coris nigrotaenia"
"93","Coris picta"
"94","Coris pictoides"
"95","Coris roseoviridis"
"96","Coris sandeyeri"
"97","Coris venusta"
"98","Cymolutes praetextatus"
"99","Cymolutes torquatus"
"100","Decodon grandisquamis"
"101","Decodon melasma"
"102","Decodon pacificus"
"103","Decodon puellaris"
"104","Doratonotus megalepis"
"105","Dotalabrus alleni"
"106","Dotalabrus aurantiacus"
"107","Epibulus brevis"
"108","Frontilabrus caeruleus"
"109","Gomphosus varius"
"110","Halichoeres adustus"
"111","Halichoeres aestuaricola"
"112","Halichoeres argus"
"113","Halichoeres bathyphilus"
"114","Halichoeres bicolor"
"115","Halichoeres binotopsis"
"116","Halichoeres biocellatus"
"117","Halichoeres bleekeri"
"118","Halichoeres brownfieldi"
"119","Halichoeres burekae"
"120","Halichoeres caudalis"
"121","Halichoeres chlorocephalus"
"122","Halichoeres chrysus"
"123","Halichoeres claudia"
"124","Halichoeres cosmetus"
"125","Halichoeres dimidiatus"
"126","Halichoeres discolor"
"127","Halichoeres erdmanni"
"128","Halichoeres hartzfeldii"
"129","Halichoeres hilomeni"
"130","Halichoeres insularis"
"131","Halichoeres iridis"
"132","Halichoeres kallochroma"
"133","Halichoeres lapillus"
"134","Halichoeres leptotaenia"
"135","Halichoeres leucoxanthus"
"136","Halichoeres malpelo"
"137","Halichoeres marginatus"
"138","Halichoeres melanochir"
"139","Halichoeres melanurus"
"140","Halichoeres melas"
"141","Halichoeres miniatus"
"142","Halichoeres nebulosus"
"143","Halichoeres nigrescens"
"144","Halichoeres orientalis"
"145","Halichoeres pallidus"
"146","Halichoeres papilionaceus"
"147","Halichoeres pardaleocephalus"
"148","Halichoeres pelicieri"
"149","Halichoeres penrosei"
"150","Halichoeres podostigma"
"151","Halichoeres poeyi"
"152","Halichoeres prosopeion"
"153","Halichoeres richmondi"
"154","Halichoeres rubricephalus"
"155","Halichoeres rubrovirens"
"156","Halichoeres salmofasciatus"
"157","Halichoeres sazimai"
"158","Halichoeres signifer"
"159","Halichoeres stigmaticus"
"160","Halichoeres tenuispinis"
"161","Halichoeres timorensis"
"162","Halichoeres trispilus"
"163","Halichoeres vrolikii"
"164","Halichoeres zeylonicus"
"165","Halichoeres zulu"
"166","Hemigymnus sexfasciatus"
"167","Hologymnosus longipes"
"168","Hologymnosus rhodonotus"
"169","Iniistius aneitensis"
"170","Iniistius auropunctatus"
"171","Iniistius baldwini"
"172","Iniistius bimaculatus"
"173","Iniistius brevipinnis"
"174","Iniistius celebicus"
"175","Iniistius cyanifrons"
"176","Iniistius dea"
