"sciname","DepthRangeShallow","DepthRangeDeep","Length","CommonLength","SpecCode"
"Anampses lennardi",NA,24,28,NA,4917
"Anchichoerops natalensis",NA,60,75,NA,14328
"Bodianus albotaeniatus",NA,NA,32.8,NA,66314
"Bodianus busellatus",NA,NA,NA,NA,64243
"Bodianus neopercularis",NA,50,9.72,NA,64023
"Bodianus oxycephalus",NA,NA,29,NA,6925
"Bodianus solatus",NA,NA,35,NA,64244
"Bodianus tanyokidus",NA,NA,17.7,NA,23527
"Centrolabrus exoletus",NA,NA,18,12,55
"Cheilinus abudjubbe",NA,10,21.8,22,60813
"Choerodon azurio",NA,NA,40,NA,49409
"Choerodon cauteroma",NA,NA,36,NA,59634
"Choerodon cephalotes",NA,NA,38,NA,10848
"Choerodon cyanodus",NA,NA,70,NA,12934
"Choerodon frenatus",NA,60,NA,NA,59644
"Choerodon gomoni",NA,82,10.3,NA,60807
"Choerodon gymnogenys",NA,NA,20,NA,23519
"Choerodon margaritiferus",NA,72,11,NA,58165
"Choerodon melanostigma",NA,NA,NA,NA,51741
"Choerodon paynei",NA,NA,NA,NA,59635
"Choerodon rubescens",NA,NA,90,NA,25756
"Choerodon sugillatum",NA,30,24,NA,59636
"Choerodon venustus",NA,NA,65,NA,12935
"Cirrhilabrus nahackyi",NA,NA,NA,NA,66424
"Cirrhilabrus naokoae",NA,NA,6,NA,64878
"Cirrhilabrus rhomboidalis",NA,40,8.5,6.7,25763
"Cirrhilabrus sanguineus",NA,NA,6.7,NA,58168
"Clepticus africanus",NA,NA,NA,NA,60808
"Clepticus brasiliensis",5,25,NA,NA,60809
"Coris atlantica",NA,NA,NA,NA,58407
"Coris bulbifrons",NA,NA,60,NA,12729
"Coris formosa",NA,NA,60,NA,7736
"Coris marquesensis",NA,30,NA,NA,55347
"Coris musume",NA,NA,NA,NA,61752
"Coris picta",NA,NA,25,NA,7183
"Coris sandeyeri",NA,60,25,NA,12793
"Coris variegata",NA,10,20,NA,5485
"Decodon grandisquamis",NA,200,18.5,NA,16902
"Decodon pacificus",NA,NA,16,NA,23521
"Dotalabrus aurantiacus",NA,NA,11.05,NA,46798
"Eupetrichthys angustipes",NA,17,12.4,NA,47037
"Frontilabrus caeruleus",NA,NA,9.4,NA,25371
"Halichoeres bleekeri",NA,NA,12.2,NA,59648
"Halichoeres brownfieldi",NA,30,15,NA,59633
"Halichoeres burekae",NA,24,7.74,NA,63950
"Halichoeres dimidiatus",3,60,NA,NA,62268
"Halichoeres kallochroma",NA,NA,12,NA,59463
"Halichoeres malpelo",NA,10,15,NA,13844
"Halichoeres pelicieri",NA,20,4.9,NA,25838
"Halichoeres penrosei",NA,30,5.57,NA,62269
"Halichoeres vrolikii",NA,NA,13,NA,25690
"Iniistius bimaculatus",NA,NA,28.5,NA,14342
"Iniistius brevipinnis",NA,42,14.25,NA,66975
"Iniistius cyanifrons",NA,NA,14.9,NA,57871
"Iniistius dea",NA,NA,30,NA,10501
"Iniistius evides",5,NA,19,NA,66411
"Iniistius geisha",NA,NA,NA,NA,58754
"Iniistius jacksonensis",NA,NA,17.5,NA,11673
"Iniistius melanopus",NA,64,26,NA,23517
"Iniistius spilonotus",NA,NA,NA,NA,66414
"Iniistius verrens",NA,NA,NA,NA,23538
"Labropsis polynesica",NA,27,7.9,NA,4864
"Labrus merula",NA,NA,45,40,4582
"Labrus viridis",NA,NA,47,37.5,51659
"Lappanella guineensis",NA,100,11.78,NA,22517
"Macropharyngodon bipartitus",NA,30,13,NA,7801
"Macropharyngodon choati",0,NA,7.6,NA,13138
