"","specname"
"1","Abudefduf conformis"
"2","Abudefduf declivifrons"
"3","Abudefduf hoefleri"
"4","Altrichthys azurelineatus"
"5","Altrichthys curatus"
"6","Amblyglyphidodon batunai"
"7","Amblyglyphidodon flavilatus"
"8","Amblyglyphidodon flavopurpureus"
"9","Amblyglyphidodon indicus"
"10","Amblyglyphidodon melanopterus"
"11","Amblyglyphidodon orbicularis"
"12","Amblyglyphidodon silolona"
"13","Amblypomacentrus breviceps"
"14","Amblypomacentrus clarus"
"15","Amblypomacentrus vietnamicus"
"16","Amphiprion barberi"
"17","Amphiprion chagosensis"
"18","Amphiprion latifasciatus"
"19","Amphiprion omanensis"
"20","Amphiprion pacificus"
"21","Amphiprion percula"
"22","Amphiprion thiellei"
"23","Azurina hirundo"
"24","Chromis abrupta"
"25","Chromis abyssicola"
"26","Chromis abyssus"
"27","Chromis acares"
"28","Chromis albicauda"
"29","Chromis alpha"
"30","Chromis athena"
"31","Chromis atripectoralis"
"32","Chromis axillaris"
"33","Chromis bami"
"34","Chromis brevirostris"
"35","Chromis cadenati"
"36","Chromis caudalis"
"37","Chromis circumaurea"
"38","Chromis crusma"
"39","Chromis degruyi"
"40","Chromis dispilus"
"41","Chromis durvillei"
"42","Chromis earina"
"43","Chromis fatuhivae"
"44","Chromis fieldi"
"45","Chromis flavicauda"
"46","Chromis hanui"
"47","Chromis intercrusma"
"48","Chromis jubauna"
"49","Chromis lineata"
"50","Chromis lubbocki"
"51","Chromis meridiana"
"52","Chromis monochroma"
"53","Chromis nigroanalis"
"54","Chromis okamurai"
"55","Chromis onumai"
"56","Chromis planesi"
"57","Chromis pura"
"58","Chromis randalli"
"59","Chromis sanctaehelenae"
"60","Chromis struhsakeri"
"61","Chromis unipa"
"62","Chromis woodsi"
"63","Chromis xanthopterygia"
"64","Chromis xouthos"
"65","Chrysiptera albata"
"66","Chrysiptera arnazae"
"67","Chrysiptera bleekeri"
"68","Chrysiptera chrysocephala"
"69","Chrysiptera galba"
"70","Chrysiptera giti"
"71","Chrysiptera niger"
"72","Chrysiptera notialis"
"73","Chrysiptera pricei"
"74","Chrysiptera rapanui"
"75","Chrysiptera sheila"
"76","Dascyllus auripinnis"
"77","Dascyllus flavicaudus"
"78","Dascyllus strasburgi"
"79","Dischistodus darwiniensis"
"80","Microspathodon frontatus"
"81","Neoglyphidodon bonang"
"82","Neoglyphidodon carlsoni"
"83","Neoglyphidodon crossi"
"84","Neoglyphidodon mitratus"
"85","Neopomacentrus aquadulcis"
"86","Neopomacentrus bankieri"
"87","Neopomacentrus cyanomos"
"88","Neopomacentrus fallax"
"89","Neopomacentrus metallicus"
"90","Neopomacentrus sororius"
"91","Parma kermadecensis"
"92","Plectroglyphidodon flaviventris"
"93","Plectroglyphidodon randalli"
"94","Plectroglyphidodon sagmarius"
"95","Pomacentrus adelus"
"96","Pomacentrus arabicus"
"97","Pomacentrus armillatus"
"98","Pomacentrus atriaxillaris"
"99","Pomacentrus auriventris"
"100","Pomacentrus azuremaculatus"
"101","Pomacentrus baenschi"
"102","Pomacentrus bankanensis"
"103","Pomacentrus bintanensis"
"104","Pomacentrus bipunctatus"
"105","Pomacentrus caeruleopunctatus"
"106","Pomacentrus callainus"
"107","Pomacentrus cheraphilus"
"108","Pomacentrus colini"
"109","Pomacentrus cuneatus"
"110","Pomacentrus fakfakensis"
"111","Pomacentrus geminospilus"
"112","Pomacentrus imitator"
"113","Pomacentrus indicus"
"114","Pomacentrus javanicus"
"115","Pomacentrus komodoensis"
"116","Pomacentrus limosus"
"117","Pomacentrus littoralis"
"118","Pomacentrus microspilus"
"119","Pomacentrus opisthostigma"
"120","Pomacentrus polyspinus"
"121","Pomacentrus proteus"
"122","Pomacentrus rodriguesensis"
"123","Pomacentrus saksonoi"
"124","Pomacentrus similis"
"125","Pomacentrus spilotoceps"
"126","Pomacentrus sulfureus"
"127","Pomacentrus xanthosternus"
"128","Pomacentrus yoshii"
"129","Pomachromis fuscidorsalis"
"130","Pomachromis richardsoni"
"131","Pristotis cyanostigma"
"132","Similiparma hermani"
"133","Stegastes apicalis"
"134","Stegastes aureus"
"135","Stegastes baldwini"
"136","Stegastes emeryi"
"137","Stegastes gascoynei"
"138","Stegastes imbricatus"
"139","Stegastes leucorus"
"140","Stegastes leucostictus"
"141","Stegastes lividus"
"142","Stegastes lubbocki"
"143","Stegastes otophorus"
"144","Stegastes redemptus"
"145","Stegastes sanctaehelenae"
"146","Stegastes sanctipauli"
"147","Stegastes uenfi"
