"sciname","DepthRangeShallow","DepthRangeDeep","Length","CommonLength","SpecCode"
"Abudefduf hoefleri",NA,NA,20,NA,11811
"Amblyglyphidodon orbicularis",NA,30,8.3,NA,61113
"Amblypomacentrus vietnamicus",NA,NA,NA,NA,65030
"Amphiprion thiellei",NA,NA,9,NA,11847
"Chromis circumaurea",NA,100,10.24,NA,63554
"Chromis crusma",NA,NA,14,NA,11859
"Chromis durvillei",NA,NA,7.6,NA,65986
"Chromis fatuhivae",18,21,NA,NA,58943
"Chromis flavapicis",NA,25,10.1,NA,58948
"Chromis pura",NA,18,7.63,NA,64212
"Dascyllus auripinnis",NA,30,11.52,NA,59464
"Dischistodus darwiniensis",NA,NA,10.3,NA,25219
"Neopomacentrus fallax",NA,NA,10,NA,22826
"Pomacentrus atriaxillaris",NA,12,NA,NA,61073
"Pomacentrus caeruleopunctatus",7,10,NA,NA,61079
"Pomacentrus callainus",0,3,NA,NA,61074
"Pomacentrus microspilus",2,30,NA,NA,63872
"Pomacentrus spilotoceps",0,5,NA,NA,61075
"Stegastes lubbocki",NA,NA,NA,NA,61076
"Stegastes pictus",NA,NA,7.5,NA,12417
"Stegastes uenfi",NA,3,NA,NA,61077
