"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"1","Acantholabrus palloni",7633,"LC","Medium","fusiform / normal","reef-associated",30,500,NA,31.97,25,NA,NA,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely","","Adults inhabit coastal waters near rocky or sandy bottoms.  Feed on benthic invertebrates.  Solitary (Ref. 2683).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"2","Achoerodus gouldii",14420,"VU","Low","fusiform / normal","reef-associated",5,65,70,65.92,175,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found on the continental shelf (Ref. 9563).  They inhabit rocky areas and feeds on small crabs, fish, mollusks and starfish (Ref. 2156).  Oviparous, distinct pairing during breeding (Ref. 205). Protogynous (Ref. 94078)."
"3","Achoerodus viridis",50808,"NT","Low",NA,"reef-associated",NA,40,NA,68.09,62,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found in coastal rocky areas at depths to about 40 m (Ref. 26878).  Protogynous hermaphrodite (Ref. 55367).  Oviparous, distinct pairing during breeding (Ref. 205).  Max. length for female species (Bernard Yau, pers. Comm., 2000)."
"4","Ammolabrus dicrus",59627,"LC","High","Elongated","benthopelagic",7,18,NA,21.72,9.41,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found over open sand bottom, in small, swift-swimming schools (Ref. 26794).  Feed on zooplankton above the substratum (Ref. 26794, 58466).  Oviparous, distinct pairing during breeding (Ref. 205)."
"5","Anampses caeruleopunctatus",4888,"LC","Medium","fusiform / normal","reef-associated",3,30,NA,40.85,42,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found on the surge zone of coral reefs or rocky coasts (Ref. 9710, 58534).  They occur singly or in pairs (Ref. 9710).  Tiny juveniles swim with head towards the bottom and slowly undulate the body, looking like a floating leaf in the current (Ref. 48636).  Young feed primarily on small crustaceans and polychaetes, adults switch to larger crustaceans and mollusks as well as polychaetes (Ref. 1602).  They bury at night (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Occasionally trawled (Ref. 30573).  Not common in fish markets.  Minimum depth reported taken from Ref. 30874."
"6","Anampses chrysocephalus",4919,"LC","High","fusiform / normal","reef-associated",12,139,NA,26.31,17,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Adults inhabit seaward reefs (Ref. 9710, 58302).  Benthopelagic (Ref. 58302).  A single male usually found with a group of females (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205)."
"7","Anampses cuvier",4916,"LC","Medium",NA,"reef-associated",2,26,NA,34.91,31,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Adults are found over rocky substrate of inshore areas.  They also inhabit tide pools and relatively deeper water (Ref. 55080).  Benthopelagic (Ref. 58302).  Feed on crustaceans, including shrimps, amphipods (gammarids and caprellids), copepods, ostracods, isopods, and brachyuran crabs.  Other food items include sipunculids, gastropods, chitons, and occasionally ophiuroids and echinoids, tunicates, algae, foraminifera, and fish material.  Protogynous (Ref. 55080).  Oviparous, distinct pairing during breeding (Ref. 205)."
"8","Anampses elegans",4918,"LC","Medium","fusiform / normal","reef-associated",2,35,NA,34.73,29,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Adults are primarily found in lagoons (Ref. 9710).  Also in coastal reef areas.  Feed on a variety of invertebrates.  Females in groups of up to 80 or more, males territorial (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205)."
"9","Anampses femininus",4892,"LC","Medium","fusiform / normal","reef-associated",10,30,NA,31.55,24,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit rocky and coral reefs.  Usually in small groups (Ref. 9710).  Feeds on benthic invertebrates (Ref. 89972). Oviparous, distinct pairing during breeding (Ref. 205)."
"10","Anampses geographicus",4891,"LC","Medium","fusiform / normal","reef-associated",NA,25,NA,34.91,31,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit shallow coral reefs, often in weedy areas (Ref. 9710).  Feed on benthic invertebrates.  Expatriate juveniles are transported by currents to subtropical zones during pelagic stages (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).  Occasionally seen in fish markets or aquarium trade."
