,sciname,DepthRangeShallow,DepthRangeDeep,Length,Source
3,Achoerodus viridis,1,40,62,Fishbase
10,Anampses geographicus,1,25,31,Fishbase
11,Anampses lennardi,20,50,28,OBIS
17,Anchichoerops natalensis,2,60,75,IUCN
19,Bodianus albotaeniatus,8,200,32.8,IUCN
25,Bodianus busellatus,13,74,31.5,IUCN
43,Bodianus neopercularis,NA,50,9.72,
45,Bodianus oxycephalus,100,200,29,OBIS
55,Bodianus solatus,61,108,35,IUCN
57,Bodianus tanyokidus,NA,100,17.7,IUCN
64,Calotomus japonicus,3,20,39,IUCN
66,Calotomus viridescens,1,30,21,OBIS
69,Centrolabrus exoletus,1,35,18,IUCN
73,Cheilinus abudjubbe,1,20,21.8,IUCN
85,Chlorurus cyanescens,5,30,50,IUCN
88,Chlorurus genazonatus,6,31,31,IUCN
89,Chlorurus gibbus,2,30,70,IUCN
96,Chlorurus spilurus,1,30,37,IUCN
100,Choerodon azurio,10,50,40,IUCN
101,Choerodon cauteroma,20,100,36,IUCN
102,Choerodon cephalotes,9,130,38,EOL
103,Choerodon cyanodus,0,30,70,EOL
105,Choerodon frenatus,30,60,NA,EOL
106,Choerodon gomoni,30,82,10.3,EOL
107,Choerodon graphicus,3,46,51.5,IUCN
108,Choerodon gymnogenys,5,30,20,IUCN
110,Choerodon margaritiferus,31,80,11,EOL
111,Choerodon melanostigma,60,90,6.2,IUCN
114,Choerodon paynei,NA,NA,NA,
116,Choerodon rubescens,2,40,90,Nardi2006
118,Choerodon sugillatum,1,30,24,IUCN
119,Choerodon venustus,10,95,65,IUCN
153,Cirrhilabrus nahackyi,35,50,6.94,Walsh2012
154,Cirrhilabrus naokoae,10,20,6,Randall2009
158,Cirrhilabrus rhomboidalis,35,50,8.5,IUCN
164,Cirrhilabrus sanguineus,40,60,6.7,IUCN
171,Clepticus africanus,0,10,NA,IUCN
172,Clepticus brasiliensis,5,25,NA,
175,Coris atlantica,5,50,NA,IUCN
176,Coris auricularis,1,45,40,IUCN
181,Coris bulbifrons,1,25,60,IUCN
188,Coris formosa,1,30,60,IUCN
193,Coris marquesensis,1,30,31.8,IUCN
194,Coris musume,3,25,22,"IUCN, Randall1978"
196,Coris picta,3,25,25,IUCN
199,Coris sandeyeri,29.3,60,25,EOL
200,Coris variegata,1,10,20,EOL
202,Cryptotomus roseus,0.5,60,13,EOL
207,Decodon grandisquamis,50,200,18.5,EOL
209,Decodon pacificus,NA,200,16,IUCN
214,Dotalabrus aurantiacus,1,47,11.05,IUCN
217,Eupetrichthys angustipes,2,40,12.4,IUCN
218,Frontilabrus caeruleus,NA,NA,9.4,
230,Halichoeres bleekeri,NA,NA,12.2,
232,Halichoeres brownfieldi,1,30,15,IUCN
233,Halichoeres burekae,2,25,7.74,IUCN
242,Halichoeres dimidiatus,3,60,NA,IUCN
252,Halichoeres kallochroma,1,10,12,IUCN
276,Halichoeres pelicieri,20,85,16,IUCN
277,Halichoeres penrosei,1,30,5.57,IUCN
289,Halichoeres semicinctus,1,24,38,IUCN
294,Halichoeres tenuispinis,3,20,13.6,IUCN
298,Halichoeres vrolikii,5,20,13,EOL
314,Iniistius bimaculatus,NA,10,28.5,EOL
315,Iniistius brevipinnis,NA,42,14.25,
317,Iniistius cyanifrons,NA,NA,14.9,
318,Iniistius dea,22.5,88.5,30,EOL
319,Iniistius evides,5,NA,19,
320,Iniistius geisha,NA,100,NA,
322,Iniistius jacksonensis,21.5,104.5,17.5,EOL
323,Iniistius melanopus,1,64,26,IUCN
327,Iniistius spilonotus,NA,NA,NA,
331,Iniistius verrens,1,12,11.4,"IUCN, Zhu2013"
342,Labropsis polynesica,15,38,7.9,IUCN
